metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,AlwaysAnomaly,AlwaysNormal,ECOD,Inverted,KNN,Perfect,RBFSVC,RandomForest,XGBOD
dicec,binary,False,SPM,SPM,SPM,0.010873889999989126,0.0,0.4590163899995409,0.0,0.04761904999995238,0.9999999999989999,0.0,0.0,0.0
pak,continuous,False,SPM,SPM,SPM,0.005466669999994533,0.005466669999994533,0.15853658999984147,0.0,0.1501831499998498,0.9999999999989999,0.24390243999975608,0.0,0.15853658999984147
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.0,0.0,0.29989982336710636,0.0,0.3247053871987129,0.9999999999989945,0.21419925665013742,0.0785631186437175,0.17010157919979402
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.49999999999949996,0.49999999999949996,0.9649784699990349,0.0,0.7448041199992551,0.9999999999989999,0.9451423899990548,0.9672097699990326,0.9336629699990663
pwf,binary,False,SPM,SPM,SPM,0.010873889999989126,0.0,0.4590163899995409,0.0,0.04761904999995238,0.9999999999989999,0.0,0.0,0.0
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.010873889999989126,0.0,0.3867924499996132,0.0007996799999992003,0.7941176499992059,0.9999999999989999,0.0,0.0,0.0
cf,binary,False,TEM,TPDM,TEM/TPDM,0.010873889999989126,0.0,0.47781569999952217,0.0,0.49999999999949996,0.9999999999989999,0.0,0.0,0.0
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,0.501370410784408,0.501370410784408,0.884839037084349,0.0,0.7975334521098579,0.9999999999989972,0.36285633610881346,0.18220145670748006,0.31297997756175594
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,0.49999999999949996,0.49999999999949996,0.9993746299990006,0.0,0.9363250799990637,0.9999999999989999,0.9834509999990164,0.9900790999990098,0.9869685999990129
paf,binary,False,TEM,TPDM,TEM/TPDM,0.010873889999989126,0.0,0.5173501599994826,0.0,0.7941176499992059,0.9999999999989999,0.0,0.0,0.0
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.6690918799993308,0.0,0.14183979999985813,0.0,0.29473683999970524,0.9999999999989999,0.0,0.0,0.0
swf,binary,False,TEM,TPDM,TEM/TPDM,0.9999999999989999,0.0,0.0999999999999,0.0,0.49999999999949996,0.9999999999989999,0.0,0.0,0.0
adc,binary,False,TEM,PTDM,TEM/PTDM,0.9999999999989999,0.0,0.8024691399991974,0.0,0.012345679999987653,0.9999999999989999,0.0,0.0,0.0
dair,binary,False,TEM,PTDM,TEM/PTDM,0.005466669999994533,0.0,0.34893616999965105,0.002006959999997993,0.9999999999989999,0.9999999999989999,0.0,0.0,0.2777777799997222
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.010873889999989126,0.0,0.4690553699995309,0.0,0.04761904999995238,0.9999999999989999,0.0,0.0,0.0
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.010873889999989126,0.0,0.4640522899995359,0.0,0.04761904999995238,0.9999999999989999,0.0,0.0,0.0
taf,binary,False,TEM,PTDM,TEM/PTDM,0.006048319999993951,0.0,0.15317102999984683,0.0026735199999973263,0.012269939999987729,0.9999999999989999,0.0,0.0,0.014213889999985786
tdir,binary,False,TEM,PTDM,TEM/PTDM,0.9999999999989999,0.0,0.9999999999989999,0.36585365999963415,0.19512194999980484,0.9999999999989999,0.0,0.0,0.06097560999993902
wdd,binary,False,TEM,PTDM,TEM/PTDM,0.004686030107590458,0.9953139698924094,0.98941866060875,0.0,0.9954206502097775,0.9999999999999999,0.9953139698924094,0.9953139698924094,0.9944859883261499
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.010873889999989126,0.0,0.42809364999957183,0.0,0.0,0.9999999999989999,0.0,0.0,0.0
eds,binary,False,TEM,DPM,TEM/DPM,0.9999999999989999,0.0,0.5597862399994401,0.9999999999989999,0.16232464999983764,0.49899799999950095,0.0,0.0,0.6199064799993801
lsaf,binary,False,TEM,DPM,TEM/DPM,0.010873891304856085,0.0,0.5031847403816657,0.0,0.7384615086146427,0.999999999999,0.0,0.0,0.0
mttd,binary,True,TEM,DPM,TEM/DPM,1.0,1.0,0.9979536152796865,0.9440654843182534,2.1094237467877974e-15,1.0,1.0,1.0,0.8553888130910277
nab_score,binary,False,TEM,DPM,TEM/DPM,0.0036480123212077023,0.9963519876787923,0.9899495604769007,0.0,0.997561934697218,1.0,0.9963519876787923,0.9963519876787923,0.9955761041032214
add,binary,True,TEM,TMEM,TEM/TMEM,0.22857141887584964,1.0,0.2620408044393615,1.0,3.0856428523406976e-12,0.22857141887584964,1.0,1.0,1.0
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.0,0.0,0.20290069999979707,0.0,0.0,0.9999999999989999,0.0,0.0,0.0
td,binary,True,TEM,TMEM,TEM/TMEM,1.3867163402347948e-05,0.9805289828939041,0.9934610625723456,0.0,0.9995082855826426,1.0,0.9805289828939041,0.9805289828939041,0.9999200738492937
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.6671525699993327,0.0,0.9102835299990896,0.6547841699993452,0.48664486999951334,0.9999999999989999,0.0,0.0,0.9250845699990748
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.4453890299995546,0.0,0.8667622099991331,0.4247894699995752,0.48664486999951334,0.9999999999989999,0.0,0.0,0.8965458699991034
pate,continuous,False,TEM,TSTM,TEM/TSTM,0.4982490912832068,0.4982490912832068,0.2989372358538128,0.0,0.4314994978564052,0.9999999999989908,0.22797969516445477,0.0723962504477041,0.15866118260543574
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.011152219999988847,0.0,0.46915757999953084,0.0001406999999998593,0.04874475999995125,0.9999999999989999,0.0,0.0,0.0018900399999981098
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.014822659999985176,0.0,0.5133333299994867,0.003999999999996,0.3265306099996734,0.9999999999989999,0.0,0.0,0.08733623999991265
vus_pr,continuous,False,TEM,TSTM,TEM/TSTM,0.00023876771885755738,0.00023876771885755738,0.2767802918190013,0.0,0.056909259166937454,0.9999999999989945,0.1023538167364725,0.09694118200669465,0.14926960214733156
vus_roc,continuous,False,TEM,TSTM,TEM/TSTM,0.4888955208976955,0.4888955208976955,0.9765611405313049,0.0,0.6533159187194644,0.9999999999989777,0.9357763927178454,0.9700870628757283,0.9307339743992767
