metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
dicec,binary,False,SPM,SPM,SPM,0.04761905,0.45901639,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
pak,continuous,False,SPM,SPM,SPM,0.15018315,0.15853659,0.15853659,0.24390244,0.00000000,1.00000000,0.00546667,0.00546667,0.00000000
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.32839700,0.30372704,0.17463836,0.21849497,0.08360031,1.00000000,0.00546667,0.00546667,0.00546667
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.74480412,0.96497847,0.93366297,0.94514239,0.96720977,1.00000000,0.50000000,0.50000000,0.00000000
pwf,binary,False,SPM,SPM,SPM,0.04761905,0.45901639,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.79411765,0.38679245,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00079968
cf,binary,False,TEM,TPDM,TEM/TPDM,0.50000000,0.47781570,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,0.79808686,0.88515381,0.31485783,0.36459786,0.18443677,1.00000000,0.50273333,0.50273333,0.00273333
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,0.93632508,0.99937463,0.98696860,0.98345100,0.99007910,1.00000000,0.50000000,0.50000000,0.00000000
paf,binary,False,TEM,TPDM,TEM/TPDM,0.79411765,0.51735016,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.29473684,0.14183980,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.66909188,0.00000000
swf,binary,False,TEM,TPDM,TEM/TPDM,0.50000000,0.10000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,0.01234568,0.80246914,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000
dair,binary,False,TEM,PTDM,TEM/PTDM,1.00000000,0.34893617,0.27777778,0.00000000,0.00000000,1.00000000,0.00000000,0.00546667,0.00200696
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.04761905,0.46905537,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.04761905,0.46405229,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
taf,binary,False,TEM,PTDM,TEM/PTDM,0.01226994,0.15317103,0.01421389,0.00000000,0.00000000,1.00000000,0.00000000,0.00604832,0.00267352
tdir,binary,False,TEM,PTDM,TEM/PTDM,0.19512195,1.00000000,0.06097561,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.36585366
wdd,binary,False,TEM,PTDM,TEM/PTDM,1.59766351,-88.28920606,-12.40000000,0.00000000,0.00000000,70.17882487,0.00000000,-14835.82117513,-14906.00000000
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.00000000,0.42809365,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.01087389,0.00000000
eds,binary,False,TEM,DPM,TEM/DPM,0.16232465,0.55978624,0.61990648,0.00000000,0.00000000,0.49899800,0.00000000,1.00000000,1.00000000
lsaf,binary,False,TEM,DPM,TEM/DPM,0.73846142,0.50318468,0.00000000,0.00000000,0.00000000,0.99999988,0.00000000,0.01087389,0.00000000
mttd,binary,True,TEM,DPM,TEM/DPM,488.66666667,1.00000000,70.66666667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,27.33333333
nab_score,binary,False,TEM,DPM,TEM/DPM,33.16729528,-175.50453886,-21.26866653,0.00000000,0.00000000,100.00000000,0.00000000,-27212.18811643,-27312.18811643
add,binary,True,TEM,TMEM,TEM/TMEM,0.32407407,0.23915344,0.00000000,0.00000000,0.00000000,0.25000000,0.00000000,0.25000000,0.00000000
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.00000000,0.20290070,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
td,binary,True,TEM,TMEM,TEM/TMEM,31062.00000000,413070.00000000,5049.00000000,1230000.00000000,1230000.00000000,0.00000000,1230000.00000000,63169938.00000000,63170814.00000000
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.48664487,0.91028353,0.92508457,0.00000000,0.00000000,1.00000000,0.00000000,0.66715257,0.65478417
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.48664487,0.86676221,0.89654587,0.00000000,0.00000000,1.00000000,0.00000000,0.44538903,0.42478947
pate,continuous,False,TEM,TSTM,TEM/TSTM,0.43666001,0.30530107,0.16629836,0.23498764,0.08081649,1.00000000,0.50280369,0.50280369,0.00907741
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.04874476,0.46915758,0.00189004,0.00000000,0.00000000,1.00000000,0.00000000,0.01115222,0.00014070
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.32653061,0.51333333,0.08733624,0.00000000,0.00000000,1.00000000,0.00000000,0.01482266,0.00400000
