metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,configured_params_json
dtpaf,binary,False,TEM,DPM,TEM/DPM,"{""beta"": 1.0, ""k"": 1}"
eds,binary,False,TEM,DPM,TEM/DPM,{}
lsaf,binary,False,TEM,DPM,TEM/DPM,"{""beta"": 1.0, ""ni"": 4}"
mttd,binary,True,TEM,DPM,TEM/DPM,{}
nab_score,binary,False,TEM,DPM,TEM/DPM,{}
adc,binary,False,TEM,PTDM,TEM/PTDM,{}
dair,binary,False,TEM,PTDM,TEM/PTDM,"{""k"": 5}"
pakf,binary,False,TEM,PTDM,TEM/PTDM,"{""beta"": 1.0, ""k"": 0.5}"
paklf,binary,False,TEM,PTDM,TEM/PTDM,"{""beta"": 1.0, ""k"": 0.5, ""l"": 2}"
taf,binary,False,TEM,PTDM,TEM/PTDM,"{""alpha"": 0.4, ""beta"": 1.0, ""delta"": 4, ""past_range"": false, ""theta"": 0.65}"
tdir,binary,False,TEM,PTDM,TEM/PTDM,"{""k"": 5}"
wdd,binary,False,TEM,PTDM,TEM/PTDM,"{""k"": 5}"
dicec,binary,False,SPM,SPM,SPM,{}
pwf,binary,False,SPM,SPM,SPM,"{""beta"": 1.0}"
add,binary,True,TEM,TMEM,TEM/TMEM,{}
etaf,binary,False,TEM,TMEM,TEM/TMEM,"{""theta_p"": 0.5, ""theta_r"": 0.5}"
td,binary,True,TEM,TMEM,TEM/TMEM,"{""distance"": 0}"
bpaf,binary,False,TEM,TPDM,TEM/TPDM,"{""beta"": 1.0, ""w"": 5}"
cf,binary,False,TEM,TPDM,TEM/TPDM,"{""beta"": 1.0}"
paf,binary,False,TEM,TPDM,TEM/TPDM,"{""beta"": 1.0}"
rbf,binary,False,TEM,TPDM,TEM/TPDM,"{""beta"": 1.0, ""cardinality_mode"": ""reciprocal"", ""p_alpha"": 0.3, ""p_bias"": ""front"", ""r_alpha"": 0.3, ""r_bias"": ""front""}"
swf,binary,False,TEM,TPDM,TEM/TPDM,"{""beta"": 1.0}"
aff_f,binary,False,TEM,TSTM,TEM/TSTM,"{""beta"": 1.0}"
naff_f,binary,False,TEM,TSTM,TEM/TSTM,"{""alpha"": 0.3, ""beta"": 1.0}"
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,"{""delay"": 9, ""early"": 9}"
ttf,binary,False,TEM,TSTM,TEM/TSTM,"{""beta"": 1.0, ""t"": 9}"
