metric,dicec,pak,pw_auc_pr,pw_auc_roc,pwf,bpaf,cf,pa_auc_pr,pa_auc_roc,paf,rbf,swf,adc,dair,pakf,paklf,taf,tdir,wdd,dtpaf,eds,lsaf,mttd,nab_score,add,etaf,td,aff_f,naff_f,pate,pate_f1,ttf,vus_pr,vus_roc
rbf,0.57983193,0.50840336,0.45961192,0.50840336,0.57983193,0.57741091,0.57983193,0.45798319,0.47478992,0.57983193,1.00000000,0.82701158,0.69494021,0.57741091,0.57983193,0.57983193,0.74477639,0.55680751,0.37657233,0.57983193,0.05063336,0.57983193,0.18333970,0.37657233,-0.69494021,0.47663458,0.57741091,0.56067436,0.56067436,0.43277311,0.57741091,0.57741091,0.50840336,0.50840336
swf,0.70042818,0.62447813,0.57267049,0.62447813,0.70042818,0.69750362,0.70042818,0.57384477,0.59072256,0.70042818,0.82701158,1.00000000,0.86809297,0.69750362,0.70042818,0.70042818,0.52943046,0.83874283,0.55464143,0.70042818,0.30084746,0.70042818,0.42346432,0.55464143,-0.86809297,0.58976513,0.69750362,0.68069630,0.68069630,0.69198928,0.69750362,0.69750362,0.62447813,0.62447813
adc,0.56781700,0.55086724,0.49785866,0.55086724,0.56781700,0.56544615,0.56781700,0.54239236,0.56781700,0.56781700,0.69494021,0.86809297,1.00000000,0.56544615,0.56781700,0.56781700,0.39665625,0.84231957,0.42197474,0.56781700,0.48085542,0.56781700,0.64715023,0.42197474,-1.00000000,0.45493981,0.56544615,0.54012766,0.54012766,0.61866628,0.56544615,0.56544615,0.55086724,0.55086724
dair,0.99582462,0.95398325,0.96624049,0.95398325,0.99582462,1.00000000,0.99582462,0.90377360,0.92051015,0.99582462,0.57741091,0.69750362,0.56544615,1.00000000,0.99582462,0.99582462,0.83333333,0.77231508,0.90000000,0.99582462,-0.05882561,0.99582462,0.14605935,0.90000000,-0.56544615,0.98319208,1.00000000,0.98333333,0.96666667,0.88703705,1.00000000,1.00000000,0.95398325,0.95398325
pakf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
paklf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
taf,0.82845913,0.78661776,0.79672462,0.78661776,0.82845913,0.83333333,0.82845913,0.73640812,0.75314467,0.82845913,0.74477639,0.52943046,0.39665625,0.83333333,0.82845913,0.82845913,1.00000000,0.49507377,0.66666667,0.82845913,-0.26891706,0.82845913,-0.09128709,0.66666667,-0.39665625,0.81367620,0.83333333,0.81666667,0.80000000,0.58577919,0.83333333,0.83333333,0.78661776,0.78661776
tdir,0.76561032,0.70098088,0.67473983,0.70098088,0.76561032,0.77231508,0.76561032,0.70098088,0.70098088,0.76561032,0.55680751,0.83874283,0.84231957,0.77231508,0.76561032,0.76561032,0.49507377,1.00000000,0.60399000,0.76561032,0.37943128,0.76561032,0.37962830,0.60399000,-0.84231957,0.67473983,0.77231508,0.77231508,0.75251213,0.73080986,0.77231508,0.77231508,0.70098088,0.70098088
wdd,0.92887842,0.95398325,0.93233732,0.95398325,0.92887842,0.90000000,0.92887842,0.90377360,0.92051015,0.92887842,0.37657233,0.55464143,0.42197474,0.90000000,0.92887842,0.92887842,0.66666667,0.60399000,1.00000000,0.92887842,-0.32774266,0.92887842,0.34689095,1.00000000,-0.42197474,0.94928891,0.90000000,0.88333333,0.93333333,0.95398325,0.90000000,0.90000000,0.95398325,0.95398325
dtpaf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
eds,-0.11814451,-0.18565566,-0.13675713,-0.18565566,-0.11814451,-0.05882561,-0.11814451,-0.19409455,-0.16033898,-0.11814451,0.05063336,0.30084746,0.48085542,-0.05882561,-0.11814451,-0.11814451,-0.26891706,0.37943128,-0.32774266,-0.11814451,1.00000000,-0.11814451,0.11967470,-0.32774266,-0.48085542,-0.19658838,-0.05882561,-0.09244024,-0.21009145,-0.08438894,-0.05882561,-0.05882561,-0.18565566,-0.18565566
lsaf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
mttd,0.20167367,0.33001146,0.22283441,0.33001146,0.20167367,0.14605935,0.20167367,0.29334352,0.34834543,0.20167367,0.18333970,0.42346432,0.64715023,0.14605935,0.20167367,0.20167367,-0.09128709,0.37962830,0.34689095,0.20167367,0.11967470,0.20167367,1.00000000,0.34689095,-0.64715023,0.14855627,0.14605935,0.09128709,0.20083160,0.51335116,0.14605935,0.14605935,0.33001146,0.33001146
nab_score,0.92887842,0.95398325,0.93233732,0.95398325,0.92887842,0.90000000,0.92887842,0.90377360,0.92051015,0.92887842,0.37657233,0.55464143,0.42197474,0.90000000,0.92887842,0.92887842,0.66666667,0.60399000,1.00000000,0.92887842,-0.32774266,0.92887842,0.34689095,1.00000000,-0.42197474,0.94928891,0.90000000,0.88333333,0.93333333,0.95398325,0.90000000,0.90000000,0.95398325,0.95398325
add,-0.56781700,-0.55086724,-0.49785866,-0.55086724,-0.56781700,-0.56544615,-0.56781700,-0.54239236,-0.56781700,-0.56781700,-0.69494021,-0.86809297,-1.00000000,-0.56544615,-0.56781700,-0.56781700,-0.39665625,-0.84231957,-0.42197474,-0.56781700,-0.48085542,-0.56781700,-0.64715023,-0.42197474,1.00000000,-0.45493981,-0.56544615,-0.54012766,-0.54012766,-0.61866628,-0.56544615,-0.56544615,-0.55086724,-0.55086724
etaf,0.98731450,0.97029183,0.98275862,0.97029183,0.98731450,0.98319208,0.98731450,0.91922384,0.93624651,0.98731450,0.47663458,0.58976513,0.45493981,0.98319208,0.98731450,0.98731450,0.81367620,0.67473983,0.94928891,0.98731450,-0.19658838,0.98731450,0.14855627,0.94928891,-0.45493981,1.00000000,0.98319208,0.96624049,0.96624049,0.90220118,0.98319208,0.98319208,0.97029183,0.97029183
td,0.99582462,0.95398325,0.96624049,0.95398325,0.99582462,1.00000000,0.99582462,0.90377360,0.92051015,0.99582462,0.57741091,0.69750362,0.56544615,1.00000000,0.99582462,0.99582462,0.83333333,0.77231508,0.90000000,0.99582462,-0.05882561,0.99582462,0.14605935,0.90000000,-0.56544615,0.98319208,1.00000000,0.98333333,0.96666667,0.88703705,1.00000000,1.00000000,0.95398325,0.95398325
aff_f,0.97908807,0.92051015,0.93233732,0.92051015,0.97908807,0.98333333,0.97908807,0.92051015,0.90377360,0.97908807,0.56067436,0.68069630,0.54012766,0.98333333,0.97908807,0.97908807,0.81666667,0.77231508,0.88333333,0.97908807,-0.09244024,0.97908807,0.09128709,0.88333333,-0.54012766,0.96624049,0.98333333,1.00000000,0.98333333,0.85356396,0.98333333,0.98333333,0.92051015,0.92051015
naff_f,0.97908807,0.94561497,0.93233732,0.94561497,0.97908807,0.96666667,0.97908807,0.94561497,0.92887842,0.97908807,0.56067436,0.68069630,0.54012766,0.96666667,0.97908807,0.97908807,0.80000000,0.75251213,0.93333333,0.97908807,-0.21009145,0.97908807,0.20083160,0.93333333,-0.54012766,0.96624049,0.96666667,0.98333333,1.00000000,0.89540533,0.96666667,0.96666667,0.94561497,0.94561497
pate,0.91176471,0.94957983,0.91922384,0.94957983,0.91176471,0.88703705,0.91176471,0.89915966,0.93277311,0.91176471,0.43277311,0.69198928,0.61866628,0.88703705,0.91176471,0.91176471,0.58577919,0.73080986,0.95398325,0.91176471,-0.08438894,0.91176471,0.51335116,0.95398325,-0.61866628,0.90220118,0.88703705,0.85356396,0.89540533,1.00000000,0.88703705,0.88703705,0.94957983,0.94957983
pate_f1,0.99582462,0.95398325,0.96624049,0.95398325,0.99582462,1.00000000,0.99582462,0.90377360,0.92051015,0.99582462,0.57741091,0.69750362,0.56544615,1.00000000,0.99582462,0.99582462,0.83333333,0.77231508,0.90000000,0.99582462,-0.05882561,0.99582462,0.14605935,0.90000000,-0.56544615,0.98319208,1.00000000,0.98333333,0.96666667,0.88703705,1.00000000,1.00000000,0.95398325,0.95398325
ttf,0.99582462,0.95398325,0.96624049,0.95398325,0.99582462,1.00000000,0.99582462,0.90377360,0.92051015,0.99582462,0.57741091,0.69750362,0.56544615,1.00000000,0.99582462,0.99582462,0.83333333,0.77231508,0.90000000,0.99582462,-0.05882561,0.99582462,0.14605935,0.90000000,-0.56544615,0.98319208,1.00000000,0.98333333,0.96666667,0.88703705,1.00000000,1.00000000,0.95398325,0.95398325
vus_pr,0.97058824,1.00000000,0.98731450,1.00000000,0.97058824,0.95398325,0.97058824,0.94957983,0.98319328,0.97058824,0.50840336,0.62447813,0.55086724,0.95398325,0.97058824,0.97058824,0.78661776,0.70098088,0.95398325,0.97058824,-0.18565566,0.97058824,0.33001146,0.95398325,-0.55086724,0.97029183,0.95398325,0.92051015,0.94561497,0.94957983,0.95398325,0.95398325,1.00000000,1.00000000
vus_roc,0.97058824,1.00000000,0.98731450,1.00000000,0.97058824,0.95398325,0.97058824,0.94957983,0.98319328,0.97058824,0.50840336,0.62447813,0.55086724,0.95398325,0.97058824,0.97058824,0.78661776,0.70098088,0.95398325,0.97058824,-0.18565566,0.97058824,0.33001146,0.95398325,-0.55086724,0.97029183,0.95398325,0.92051015,0.94561497,0.94957983,0.95398325,0.95398325,1.00000000,1.00000000
