metric,dicec,pak,pw_auc_pr,pw_auc_roc,pwf,bpaf,cf,pa_auc_pr,pa_auc_roc,paf,rbf,swf,adc,dair,pakf,paklf,taf,tdir,wdd,dtpaf,eds,lsaf,mttd,nab_score,add,etaf,td,aff_f,naff_f,pate,pate_f1,ttf,vus_pr,vus_roc
dicec,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
pak,0.97058824,1.00000000,0.98731450,1.00000000,0.97058824,0.95398325,0.97058824,0.94957983,0.98319328,0.97058824,0.50840336,0.62447813,0.55086724,0.95398325,0.97058824,0.97058824,0.78661776,0.70098088,0.95398325,0.97058824,-0.18565566,0.97058824,0.33001146,0.95398325,-0.55086724,0.97029183,0.95398325,0.92051015,0.94561497,0.94957983,0.95398325,0.95398325,1.00000000,1.00000000
pw_auc_pr,0.97029183,0.98731450,1.00000000,0.98731450,0.97029183,0.96624049,0.97029183,0.93624651,0.97029183,0.97029183,0.45961192,0.57267049,0.49785866,0.96624049,0.97029183,0.97029183,0.79672462,0.67473983,0.93233732,0.97029183,-0.13675713,0.97029183,0.22283441,0.93233732,-0.49785866,0.98275862,0.96624049,0.93233732,0.93233732,0.91922384,0.96624049,0.96624049,0.98731450,0.98731450
pw_auc_roc,0.97058824,1.00000000,0.98731450,1.00000000,0.97058824,0.95398325,0.97058824,0.94957983,0.98319328,0.97058824,0.50840336,0.62447813,0.55086724,0.95398325,0.97058824,0.97058824,0.78661776,0.70098088,0.95398325,0.97058824,-0.18565566,0.97058824,0.33001146,0.95398325,-0.55086724,0.97029183,0.95398325,0.92051015,0.94561497,0.94957983,0.95398325,0.95398325,1.00000000,1.00000000
pwf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
bpaf,0.99582462,0.95398325,0.96624049,0.95398325,0.99582462,1.00000000,0.99582462,0.90377360,0.92051015,0.99582462,0.57741091,0.69750362,0.56544615,1.00000000,0.99582462,0.99582462,0.83333333,0.77231508,0.90000000,0.99582462,-0.05882561,0.99582462,0.14605935,0.90000000,-0.56544615,0.98319208,1.00000000,0.98333333,0.96666667,0.88703705,1.00000000,1.00000000,0.95398325,0.95398325
cf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
pa_auc_pr,0.92016807,0.94957983,0.93624651,0.94957983,0.92016807,0.90377360,0.92016807,1.00000000,0.98319328,0.92016807,0.45798319,0.57384477,0.54239236,0.90377360,0.92016807,0.92016807,0.73640812,0.70098088,0.90377360,0.92016807,-0.19409455,0.92016807,0.29334352,0.90377360,-0.54239236,0.91922384,0.90377360,0.92051015,0.94561497,0.89915966,0.90377360,0.90377360,0.94957983,0.94957983
pa_auc_roc,0.93697479,0.98319328,0.97029183,0.98319328,0.93697479,0.92051015,0.93697479,0.98319328,1.00000000,0.93697479,0.47478992,0.59072256,0.56781700,0.92051015,0.93697479,0.93697479,0.75314467,0.70098088,0.92051015,0.93697479,-0.16033898,0.93697479,0.34834543,0.92051015,-0.56781700,0.93624651,0.92051015,0.90377360,0.92887842,0.93277311,0.92051015,0.92051015,0.98319328,0.98319328
paf,1.00000000,0.97058824,0.97029183,0.97058824,1.00000000,0.99582462,1.00000000,0.92016807,0.93697479,1.00000000,0.57983193,0.70042818,0.56781700,0.99582462,1.00000000,1.00000000,0.82845913,0.76561032,0.92887842,1.00000000,-0.11814451,1.00000000,0.20167367,0.92887842,-0.56781700,0.98731450,0.99582462,0.97908807,0.97908807,0.91176471,0.99582462,0.99582462,0.97058824,0.97058824
