category,n_metrics,mean_abs_corr,std_abs_corr
DPM,5,0.42917000,0.35143900
PTDM,7,0.74623600,0.18573700
SPM,5,0.97975700,0.01203800
TMEM,3,0.66785900,0.22749200
TPDM,7,0.77491400,0.18567400
TSTM,7,0.94541500,0.03810900
