category,SPM,TPDM,PTDM,DPM,TMEM,TSTM
SPM,0.97975656,0.85810653,0.85019661,0.66206238,0.83327031,0.96411098
TPDM,0.85810653,0.77491423,0.78775385,0.58796109,0.77832673,0.85343788
PTDM,0.85019661,0.78775385,0.74623593,0.61114262,0.77501144,0.84500568
DPM,0.66206238,0.58796109,0.61114262,0.42917015,0.60341407,0.64907555
TMEM,0.83327031,0.77832673,0.77501144,0.60341407,0.66785935,0.82943819
TSTM,0.96411098,0.85343788,0.84500568,0.64907555,0.82943819,0.94541522
