metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
dicec,binary,False,SPM,SPM,SPM,3.00000000,2.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
pak,continuous,False,SPM,SPM,SPM,5.00000000,3.00000000,3.00000000,2.00000000,8.00000000,1.00000000,6.00000000,6.00000000,8.00000000
pw_auc_pr,continuous,False,SPM,SPM,SPM,2.00000000,3.00000000,5.00000000,4.00000000,6.00000000,1.00000000,7.00000000,7.00000000,7.00000000
pw_auc_roc,continuous,False,SPM,SPM,SPM,6.00000000,3.00000000,5.00000000,4.00000000,2.00000000,1.00000000,7.00000000,7.00000000,9.00000000
pwf,binary,False,SPM,SPM,SPM,3.00000000,2.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
bpaf,binary,False,TEM,TPDM,TEM/TPDM,2.00000000,3.00000000,6.00000000,6.00000000,6.00000000,1.00000000,6.00000000,4.00000000,5.00000000
cf,binary,False,TEM,TPDM,TEM/TPDM,2.00000000,3.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,3.00000000,2.00000000,7.00000000,6.00000000,8.00000000,1.00000000,4.00000000,4.00000000,9.00000000
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,6.00000000,2.00000000,4.00000000,5.00000000,3.00000000,1.00000000,7.00000000,7.00000000,9.00000000
paf,binary,False,TEM,TPDM,TEM/TPDM,2.00000000,3.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
rbf,binary,False,TEM,TPDM,TEM/TPDM,3.00000000,4.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,2.00000000,5.00000000
swf,binary,False,TEM,TPDM,TEM/TPDM,3.00000000,4.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,1.00000000,5.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,4.00000000,3.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,1.00000000,5.00000000
dair,binary,False,TEM,PTDM,TEM/PTDM,1.00000000,3.00000000,4.00000000,7.00000000,7.00000000,1.00000000,7.00000000,5.00000000,6.00000000
pakf,binary,False,TEM,PTDM,TEM/PTDM,3.00000000,2.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
paklf,binary,False,TEM,PTDM,TEM/PTDM,3.00000000,2.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
taf,binary,False,TEM,PTDM,TEM/PTDM,4.00000000,2.00000000,3.00000000,7.00000000,7.00000000,1.00000000,7.00000000,5.00000000,6.00000000
tdir,binary,False,TEM,PTDM,TEM/PTDM,5.00000000,1.00000000,6.00000000,7.00000000,7.00000000,1.00000000,7.00000000,1.00000000,4.00000000
wdd,binary,False,TEM,PTDM,TEM/PTDM,2.00000000,7.00000000,6.00000000,3.00000000,3.00000000,1.00000000,3.00000000,8.00000000,9.00000000
dtpaf,binary,False,TEM,DPM,TEM/DPM,4.00000000,2.00000000,4.00000000,4.00000000,4.00000000,1.00000000,4.00000000,3.00000000,4.00000000
eds,binary,False,TEM,DPM,TEM/DPM,6.00000000,4.00000000,3.00000000,7.00000000,7.00000000,5.00000000,7.00000000,1.00000000,1.00000000
