metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
lsaf,binary,False,TEM,DPM,TEM/DPM,2.00000000,3.00000000,5.00000000,5.00000000,5.00000000,1.00000000,5.00000000,4.00000000,5.00000000
mttd,binary,True,TEM,DPM,TEM/DPM,9.00000000,6.00000000,8.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,7.00000000
nab_score,binary,False,TEM,DPM,TEM/DPM,2.00000000,7.00000000,6.00000000,3.00000000,3.00000000,1.00000000,3.00000000,8.00000000,9.00000000
add,binary,True,TEM,TMEM,TEM/TMEM,9.00000000,6.00000000,1.00000000,1.00000000,1.00000000,7.00000000,1.00000000,7.00000000,1.00000000
etaf,binary,False,TEM,TMEM,TEM/TMEM,3.00000000,2.00000000,3.00000000,3.00000000,3.00000000,1.00000000,3.00000000,3.00000000,3.00000000
td,binary,True,TEM,TMEM,TEM/TMEM,3.00000000,4.00000000,2.00000000,5.00000000,5.00000000,1.00000000,5.00000000,8.00000000,9.00000000
aff_f,binary,False,TEM,TSTM,TEM/TSTM,6.00000000,3.00000000,2.00000000,7.00000000,7.00000000,1.00000000,7.00000000,4.00000000,5.00000000
naff_f,binary,False,TEM,TSTM,TEM/TSTM,4.00000000,3.00000000,2.00000000,7.00000000,7.00000000,1.00000000,7.00000000,5.00000000,6.00000000
pate,continuous,False,TEM,TSTM,TEM/TSTM,4.00000000,5.00000000,7.00000000,6.00000000,8.00000000,1.00000000,2.00000000,2.00000000,9.00000000
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,3.00000000,2.00000000,5.00000000,7.00000000,7.00000000,1.00000000,7.00000000,4.00000000,6.00000000
ttf,binary,False,TEM,TSTM,TEM/TSTM,3.00000000,2.00000000,4.00000000,7.00000000,7.00000000,1.00000000,7.00000000,5.00000000,6.00000000
vus_pr,continuous,False,TEM,TSTM,TEM/TSTM,6.00000000,2.00000000,3.00000000,4.00000000,5.00000000,1.00000000,7.00000000,7.00000000,9.00000000
vus_roc,continuous,False,TEM,TSTM,TEM/TSTM,6.00000000,2.00000000,5.00000000,4.00000000,3.00000000,1.00000000,7.00000000,7.00000000,9.00000000
