metric,dicec,pak,pw_auc_pr,pw_auc_roc,pwf,bpaf,cf,pa_auc_pr,pa_auc_roc,paf,rbf,swf,adc,dair,pakf,paklf,taf,tdir,wdd,dtpaf,eds,lsaf,mttd,nab_score,add,etaf,td,aff_f,naff_f,pate,pate_f1,ttf,vus_pr,vus_roc
dair,0.83925433,0.48277656,0.70130527,0.23935121,0.83925433,0.86243520,0.86722947,0.67531235,0.39321985,0.86722947,0.76465394,0.73570404,0.70758796,1.00000000,0.83925433,0.83925433,0.92641561,0.73134140,0.25108460,0.57146556,0.41739130,0.86722947,-0.52220269,0.25108460,-0.80130822,0.59447182,0.67533100,0.77056999,0.90909943,0.41031636,0.95238988,0.96970606,0.46160591,0.32483379
pakf,1.00000000,0.49923018,0.68707275,0.41251432,1.00000000,0.93439334,0.98000000,0.88919754,0.50418417,0.98000000,0.92000000,0.89448366,0.91458441,0.83925433,1.00000000,1.00000000,0.79848995,0.79372539,0.31568207,0.84602879,0.21447611,0.98000000,-0.06000000,0.31568207,-0.87438290,0.80000000,0.51994695,0.61279462,0.70564229,0.65085593,0.92847669,0.87276809,0.50418417,0.50418417
paklf,1.00000000,0.49923018,0.68707275,0.41251432,1.00000000,0.93439334,0.98000000,0.88919754,0.50418417,0.98000000,0.92000000,0.89448366,0.91458441,0.83925433,1.00000000,1.00000000,0.79848995,0.79372539,0.31568207,0.84602879,0.21447611,0.98000000,-0.06000000,0.31568207,-0.87438290,0.80000000,0.51994695,0.61279462,0.70564229,0.65085593,0.92847669,0.87276809,0.50418417,0.50418417
taf,0.79848995,0.56652882,0.63793103,0.34896461,0.79848995,0.75247762,0.76135089,0.63834989,0.53621391,0.76135089,0.68707275,0.65320793,0.69053410,0.92641561,0.79848995,0.79848995,1.00000000,0.78959521,0.10344828,0.71502280,0.51082730,0.76135089,-0.38996021,0.10344828,-0.61588176,0.74278135,0.68965517,0.93103448,0.98275862,0.36598727,0.94827586,0.98275862,0.62132723,0.45110059
tdir,0.79372539,0.22712838,0.26319840,0.03464795,0.79372539,0.82886247,0.73703072,0.53704317,0.17323973,0.73703072,0.79372539,0.79772404,0.85470432,0.73134140,0.79372539,0.79372539,0.78959521,1.00000000,-0.26319840,0.83016906,0.74015275,0.73703072,-0.15118579,-0.26319840,-0.68376346,0.63781505,0.14037248,0.78959521,0.71940897,0.38112741,0.87732801,0.80714177,0.20788768,0.13859179
wdd,0.31568207,0.48069112,0.67241379,0.57877057,0.31568207,0.23016963,0.40852974,0.49365725,0.49365725,0.40852974,0.27854301,0.21462546,0.12131004,0.25108460,0.31568207,0.31568207,0.10344828,-0.26319840,1.00000000,0.05035372,-0.70130527,0.40852974,0.16712580,1.00000000,-0.30794088,0.27854301,0.67241379,-0.10344828,0.12068966,0.47663458,0.13793103,0.17241379,0.45961192,0.52770258
dtpaf,0.84602879,0.47129786,0.41290049,0.44246311,0.84602879,0.71358101,0.74841008,0.74075285,0.53195003,0.74841008,0.80264269,0.78488393,0.88299442,0.57146556,0.84602879,0.84602879,0.71502280,0.83016906,0.05035372,1.00000000,0.33883356,0.74841008,0.29285612,0.05035372,-0.58866295,0.86772183,0.32226380,0.69488131,0.62438611,0.61149396,0.78551801,0.71502280,0.53195003,0.53195003
eds,0.21447611,-0.12069414,-0.22511033,-0.41459049,0.21447611,0.35564338,0.17717591,-0.08120845,-0.26072186,0.17717591,0.30772659,0.34207895,0.37956705,0.41739130,0.21447611,0.21447611,0.51082730,0.74015275,-0.70130527,0.33883356,1.00000000,0.17717591,-0.39165202,-0.70130527,-0.23898666,0.09325048,-0.18181989,0.68398909,0.52814348,-0.09830496,0.48485303,0.45887876,-0.17523928,-0.34620443
lsaf,0.98000000,0.47149517,0.70564229,0.35751241,0.98000000,0.95346259,1.00000000,0.87086357,0.43084829,1.00000000,0.94000000,0.91458441,0.89448366,0.86722947,0.98000000,0.98000000,0.76135089,0.73703072,0.40852974,0.74841008,0.17717591,1.00000000,-0.12000000,0.40852974,-0.93468517,0.70000000,0.53851648,0.55708601,0.68707275,0.66918990,0.90990716,0.85419856,0.43084829,0.43084829
mttd,-0.06000000,0.03698001,-0.22283441,0.29334352,-0.06000000,-0.21929640,-0.12000000,0.09166985,0.14667176,-0.12000000,0.06000000,0.06030227,0.12060454,-0.52220269,-0.06000000,-0.06000000,-0.38996021,-0.15118579,0.16712580,0.29285612,-0.39165202,-0.12000000,1.00000000,0.16712580,0.18090681,0.15000000,-0.25997347,-0.27854301,-0.42709928,0.36667940,-0.31568207,-0.40852974,0.05500191,0.23834161
nab_score,0.31568207,0.48069112,0.67241379,0.57877057,0.31568207,0.23016963,0.40852974,0.49365725,0.49365725,0.40852974,0.27854301,0.21462546,0.12131004,0.25108460,0.31568207,0.31568207,0.10344828,-0.26319840,1.00000000,0.05035372,-0.70130527,0.40852974,0.16712580,1.00000000,-0.30794088,0.27854301,0.67241379,-0.10344828,0.12068966,0.47663458,0.13793103,0.17241379,0.45961192,0.52770258
add,-0.87438290,-0.29268470,-0.53189789,-0.12437775,-0.87438290,-0.89118734,-0.93468517,-0.76008624,-0.17965675,-0.93468517,-0.93468517,-0.93939394,-0.87878788,-0.80130822,-0.87438290,-0.87438290,-0.61588176,-0.68376346,-0.30794088,-0.58866295,-0.23898666,-0.93468517,0.18090681,-0.30794088,1.00000000,-0.41457810,-0.36393013,-0.41991938,-0.55989251,-0.64952824,-0.81184414,-0.72786026,-0.17965675,-0.17965675
etaf,0.80000000,0.60092521,0.64993368,0.64168895,0.80000000,0.66742381,0.70000000,0.73335880,0.73335880,0.70000000,0.60000000,0.54020783,0.64071161,0.59447182,0.80000000,0.80000000,0.74278135,0.63781505,0.27854301,0.86772183,0.09325048,0.70000000,0.15000000,0.27854301,-0.41457810,1.00000000,0.55708601,0.64993368,0.64993368,0.45834925,0.74278135,0.74278135,0.73335880,0.73335880
td,0.51994695,0.72962045,0.82758621,0.64686122,0.51994695,0.37181247,0.53851648,0.59579323,0.74899720,0.53851648,0.37139068,0.30794088,0.28927780,0.67533100,0.51994695,0.51994695,0.68965517,0.14037248,0.67241379,0.32226380,-0.18181989,0.53851648,-0.25997347,0.67241379,-0.36393013,0.55708601,1.00000000,0.53448276,0.72413793,0.37449860,0.56896552,0.67241379,0.81708786,0.68090655
aff_f,0.61279462,0.48069112,0.39655172,0.23831729,0.61279462,0.58427674,0.55708601,0.42556659,0.42556659,0.55708601,0.57565555,0.55056097,0.60655022,0.77056999,0.61279462,0.61279462,0.93103448,0.78959521,-0.10344828,0.69488131,0.68398909,0.55708601,-0.27854301,-0.10344828,-0.41991938,0.64993368,0.53448276,1.00000000,0.94827586,0.27236262,0.82758621,0.86206897,0.52770258,0.32343061
naff_f,0.70564229,0.56652882,0.60344828,0.31491928,0.70564229,0.67280352,0.68707275,0.55323657,0.50216858,0.68707275,0.63136415,0.59721868,0.61588176,0.90909943,0.70564229,0.70564229,0.98275862,0.71940897,0.12068966,0.62438611,0.52814348,0.68707275,-0.42709928,0.12068966,-0.55989251,0.64993368,0.72413793,0.94827586,1.00000000,0.33194194,0.89655172,0.94827586,0.60430456,0.40003260
pate,0.65085593,0.45764355,0.30640795,0.14285714,0.65085593,0.52879282,0.66918990,0.84873950,0.17647059,0.66918990,0.74252578,0.73244674,0.71402041,0.41031636,0.65085593,0.65085593,0.36598727,0.38112741,0.47663458,0.61149396,-0.09830496,0.66918990,0.36667940,0.47663458,-0.64952824,0.45834925,0.37449860,0.27236262,0.33194194,1.00000000,0.49365725,0.41705526,0.22689076,0.19327731
pate_f1,0.92847669,0.48927489,0.63793103,0.28938528,0.92847669,0.91182582,0.90990716,0.74899720,0.44258926,0.90990716,0.85419856,0.83050722,0.84917031,0.95238988,0.92847669,0.92847669,0.94827586,0.87732801,0.13793103,0.78551801,0.48485303,0.90990716,-0.31568207,0.13793103,-0.81184414,0.74278135,0.56896552,0.82758621,0.89655172,0.49365725,1.00000000,0.98275862,0.49365725,0.39152127
ttf,0.87276809,0.54077751,0.68965517,0.33194194,0.87276809,0.84985708,0.85419856,0.70644055,0.50216858,0.85419856,0.76135089,0.72786026,0.74652335,0.96970606,0.87276809,0.87276809,0.98275862,0.80714177,0.17241379,0.71502280,0.45887876,0.85419856,-0.40852974,0.17241379,-0.72786026,0.74278135,0.67241379,0.86206897,0.94827586,0.41705526,0.98275862,1.00000000,0.57025924,0.43407793
vus_pr,0.50418417,0.81358854,0.80006520,0.88235294,0.50418417,0.26658151,0.43084829,0.52941176,0.94957983,0.43084829,0.30251050,0.24414891,0.31785425,0.46160591,0.50418417,0.50418417,0.62132723,0.20788768,0.45961192,0.53195003,-0.17523928,0.43084829,0.05500191,0.45961192,-0.17965675,0.73335880,0.81708786,0.52770258,0.60430456,0.22689076,0.49365725,0.57025924,1.00000000,0.93277311
vus_roc,0.50418417,0.64409093,0.76601987,0.98319328,0.50418417,0.26658151,0.43084829,0.49579832,0.98319328,0.43084829,0.30251050,0.24414891,0.31785425,0.32483379,0.50418417,0.50418417,0.45110059,0.13859179,0.52770258,0.53195003,-0.34620443,0.43084829,0.23834161,0.52770258,-0.17965675,0.73335880,0.68090655,0.32343061,0.40003260,0.19327731,0.39152127,0.43407793,0.93277311,1.00000000
