metric,dicec,pak,pw_auc_pr,pw_auc_roc,pwf,bpaf,cf,pa_auc_pr,pa_auc_roc,paf,rbf,swf,adc,dair,pakf,paklf,taf,tdir,wdd,dtpaf,eds,lsaf,mttd,nab_score,add,etaf,td,aff_f,naff_f,pate,pate_f1,ttf,vus_pr,vus_roc
dicec,1.00000000,0.49923018,0.68707275,0.41251432,1.00000000,0.93439334,0.98000000,0.88919754,0.50418417,0.98000000,0.92000000,0.89448366,0.91458441,0.83925433,1.00000000,1.00000000,0.79848995,0.79372539,0.31568207,0.84602879,0.21447611,0.98000000,-0.06000000,0.31568207,-0.87438290,0.80000000,0.51994695,0.61279462,0.70564229,0.65085593,0.92847669,0.87276809,0.50418417,0.50418417
pak,0.49923018,1.00000000,0.77253930,0.55934212,0.49923018,0.33055368,0.47149517,0.63561605,0.61866628,0.47149517,0.38829014,0.33914259,0.36701733,0.48277656,0.49923018,0.49923018,0.56652882,0.22712838,0.48069112,0.47129786,-0.12069414,0.47149517,0.03698001,0.48069112,-0.29268470,0.60092521,0.72962045,0.48069112,0.56652882,0.45764355,0.48927489,0.54077751,0.81358854,0.64409093
pw_auc_pr,0.68707275,0.77253930,1.00000000,0.71495188,0.68707275,0.59312942,0.70564229,0.66388389,0.74899720,0.70564229,0.50137741,0.43858247,0.41991938,0.70130527,0.68707275,0.68707275,0.63793103,0.26319840,0.67241379,0.41290049,-0.22511033,0.70564229,-0.22283441,0.67241379,-0.53189789,0.64993368,0.82758621,0.39655172,0.60344828,0.30640795,0.63793103,0.68965517,0.80006520,0.76601987
pw_auc_roc,0.41251432,0.55934212,0.71495188,1.00000000,0.41251432,0.18791811,0.35751241,0.39495798,0.96638655,0.35751241,0.24750859,0.18886991,0.24414891,0.23935121,0.41251432,0.41251432,0.34896461,0.03464795,0.57877057,0.44246311,-0.41459049,0.35751241,0.29334352,0.57877057,-0.12437775,0.64168895,0.64686122,0.23831729,0.31491928,0.14285714,0.28938528,0.33194194,0.88235294,0.98319328
pwf,1.00000000,0.49923018,0.68707275,0.41251432,1.00000000,0.93439334,0.98000000,0.88919754,0.50418417,0.98000000,0.92000000,0.89448366,0.91458441,0.83925433,1.00000000,1.00000000,0.79848995,0.79372539,0.31568207,0.84602879,0.21447611,0.98000000,-0.06000000,0.31568207,-0.87438290,0.80000000,0.51994695,0.61279462,0.70564229,0.65085593,0.92847669,0.87276809,0.50418417,0.50418417
bpaf,0.93439334,0.33055368,0.59312942,0.18791811,0.93439334,1.00000000,0.95346259,0.73856188,0.26658151,0.95346259,0.89625483,0.87202202,0.85285670,0.86243520,0.93439334,0.93439334,0.75247762,0.82886247,0.23016963,0.71358101,0.35564338,0.95346259,-0.21929640,0.23016963,-0.89118734,0.66742381,0.37181247,0.58427674,0.67280352,0.52879282,0.91182582,0.84985708,0.26658151,0.26658151
cf,0.98000000,0.47149517,0.70564229,0.35751241,0.98000000,0.95346259,1.00000000,0.87086357,0.43084829,1.00000000,0.94000000,0.91458441,0.89448366,0.86722947,0.98000000,0.98000000,0.76135089,0.73703072,0.40852974,0.74841008,0.17717591,1.00000000,-0.12000000,0.40852974,-0.93468517,0.70000000,0.53851648,0.55708601,0.68707275,0.66918990,0.90990716,0.85419856,0.43084829,0.43084829
pa_auc_pr,0.88919754,0.63561605,0.66388389,0.39495798,0.88919754,0.73856188,0.87086357,1.00000000,0.47899160,0.87086357,0.79752769,0.76929941,0.78772574,0.67531235,0.88919754,0.88919754,0.63834989,0.53704317,0.49365725,0.74075285,-0.08120845,0.87086357,0.09166985,0.49365725,-0.76008624,0.73335880,0.59579323,0.42556659,0.55323657,0.84873950,0.74899720,0.70644055,0.52941176,0.49579832
pa_auc_roc,0.50418417,0.61866628,0.74899720,0.96638655,0.50418417,0.26658151,0.43084829,0.47899160,1.00000000,0.43084829,0.30251050,0.24414891,0.31785425,0.39321985,0.50418417,0.50418417,0.53621391,0.17323973,0.49365725,0.53195003,-0.26072186,0.43084829,0.14667176,0.49365725,-0.17965675,0.73335880,0.74899720,0.42556659,0.50216858,0.17647059,0.44258926,0.50216858,0.94957983,0.98319328
paf,0.98000000,0.47149517,0.70564229,0.35751241,0.98000000,0.95346259,1.00000000,0.87086357,0.43084829,1.00000000,0.94000000,0.91458441,0.89448366,0.86722947,0.98000000,0.98000000,0.76135089,0.73703072,0.40852974,0.74841008,0.17717591,1.00000000,-0.12000000,0.40852974,-0.93468517,0.70000000,0.53851648,0.55708601,0.68707275,0.66918990,0.90990716,0.85419856,0.43084829,0.43084829
rbf,0.92000000,0.38829014,0.50137741,0.24750859,0.92000000,0.89625483,0.94000000,0.79752769,0.30251050,0.94000000,1.00000000,0.99498744,0.97488668,0.76465394,0.92000000,0.92000000,0.68707275,0.79372539,0.27854301,0.80264269,0.30772659,0.94000000,0.06000000,0.27854301,-0.93468517,0.60000000,0.37139068,0.57565555,0.63136415,0.74252578,0.85419856,0.76135089,0.30251050,0.30251050
swf,0.89448366,0.33914259,0.43858247,0.18886991,0.89448366,0.87202202,0.91458441,0.76929941,0.24414891,0.91458441,0.99498744,1.00000000,0.97979798,0.73570404,0.89448366,0.89448366,0.65320793,0.79772404,0.21462546,0.78488393,0.34207895,0.91458441,0.06030227,0.21462546,-0.93939394,0.54020783,0.30794088,0.55056097,0.59721868,0.73244674,0.83050722,0.72786026,0.24414891,0.24414891
adc,0.91458441,0.36701733,0.41991938,0.24414891,0.91458441,0.85285670,0.89448366,0.78772574,0.31785425,0.89448366,0.97488668,0.97979798,1.00000000,0.70758796,0.91458441,0.91458441,0.69053410,0.85470432,0.12131004,0.88299442,0.37956705,0.89448366,0.12060454,0.12131004,-0.87878788,0.64071161,0.28927780,0.60655022,0.61588176,0.71402041,0.84917031,0.74652335,0.31785425,0.31785425
