category,n_metrics,mean_abs_corr,std_abs_corr
DPM,5,0.33962400,0.22262500
PTDM,7,0.65536600,0.28274500
SPM,5,0.62444700,0.17448100
TMEM,3,0.44519800,0.08177400
TPDM,7,0.74192400,0.25500400
TSTM,7,0.57516500,0.26084300
