metric,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
adc,0.00049310,0.00050128,0.00055548,0.00071230,0.00080173,0.00095214,0.00136621,0.00241826,0.00400168,0.00755978,0.01275278,0.02199439,0.04121193
add,0.00049959,0.00052614,0.00056957,0.00072750,0.00093016,0.00133269,0.00225377,0.00409392,0.00735064,0.01511481,0.02947223,0.05813201,0.11313045
aff_f,0.00064051,0.00076600,0.00087338,0.00165936,0.00311462,0.00776921,0.02561193,0.10260851,0.37289169,1.33978500,5.11774355,18.13974748,71.16517382
bpaf,0.00052152,0.00057230,0.00062120,0.00077360,0.00101069,0.00146818,0.00236422,0.00428823,0.00793889,0.01518962,0.03080730,0.06001999,0.11998820
cf,0.00048275,0.00062557,0.00086014,0.00133098,0.00237940,0.00444478,0.00870992,0.01830103,0.03412475,0.06779326,0.13471045,0.26566291,0.53301068
dair,0.00042834,0.00044662,0.00046249,0.00054161,0.00087020,0.00176867,0.00268289,0.00511310,0.00983957,0.01893366,0.03757141,0.07446061,0.15655591
dicec,0.00034032,0.00035911,0.00037938,0.00040989,0.00047491,0.00059666,0.00090918,0.00130215,0.00215651,0.00408435,0.00799312,0.01648961,0.03214512
dtpaf,0.00047643,0.00046660,0.00048819,0.00053491,0.00062664,0.00077947,0.00111492,0.00174603,0.00293058,0.00582687,0.01111941,0.02225171,0.04335197
eds,0.00045741,0.00049832,0.00054095,0.00073685,0.00089347,0.00122395,0.00224428,0.00401495,0.00746450,0.01492103,0.02990412,0.05932789,0.11442589
etaf,0.00113135,0.00190726,0.00265797,0.00481804,0.00901375,0.01887308,0.05384520,0.19137230,0.66500594,2.26881550,8.59727243,30.79299278,122.35213939
lsaf,0.00049313,0.00053594,0.00057610,0.00075751,0.00096840,0.00138427,0.00233014,0.00423572,0.00769281,0.01509309,0.03057255,0.05994626,0.11831484
mttd,0.00041675,0.00044743,0.00047893,0.00054106,0.00067259,0.00090765,0.00140968,0.00240534,0.00428982,0.00852773,0.01699942,0.03344557,0.06522169
nab_score,0.00220082,0.00433194,0.00789542,0.01669591,0.03367972,0.08210810,0.19057753,0.49196821,1.53113055,4.53219862,15.59130036,57.90034544,219.75668647
naff_f,0.00067236,0.00078261,0.00088724,0.00166663,0.00312284,0.00775692,0.02559154,0.10205539,0.37171682,1.33688728,5.10892028,18.14511467,71.60888659
pa_auc_pr,0.00786549,0.01578762,0.02942578,0.05844039,0.11516199,0.23081738,0.45758721,0.91455427,1.83203118,3.45646235,6.65179793,13.14736121,26.15434240
pa_auc_roc,0.00782265,0.01568781,0.02927432,0.05822256,0.11559833,0.22994069,0.45704449,0.91557316,1.82949788,3.42582787,6.55784228,12.94590941,25.77857565
paf,0.00053746,0.00053006,0.00061297,0.00089534,0.00103321,0.00121030,0.00191005,0.00331308,0.00597200,0.01159009,0.02330409,0.04561563,0.08962170
pak,0.00027097,0.00026703,0.00029204,0.00033184,0.00042161,0.00057339,0.00097988,0.00157108,0.00364169,0.00750396,0.01147499,0.01639163,0.03316202
pakf,0.00048382,0.00051118,0.00052498,0.00060475,0.00070068,0.00091247,0.00134585,0.00219129,0.00371501,0.00752614,0.01466824,0.02799322,0.06801072
paklf,0.00055828,0.00078518,0.00095623,0.00146709,0.00167388,0.00182733,0.00416287,0.00749775,0.01445774,0.02999772,0.05991726,0.12021063,0.23931479
pate,0.45844181,1.99324936,2.66115144,8.84075012,28.12846005,111.44150611,412.03977758,1628.62969351,6664.34591416,26464.72517310,108074.01134483,,
pate_f1,0.00190044,0.00277030,0.00283652,0.00740759,0.02345637,0.09294215,0.31848524,1.53230395,4.33993530,18.26456380,73.44563913,289.35838750,1158.03722828
pw_auc_pr,0.00042850,0.00044272,0.00052157,0.00068834,0.00099433,0.00167127,0.00308222,0.00588703,0.01219677,0.02564566,0.05453423,0.11162594,0.23608853
