metric_name,input_type,category,general,long-sparse,mixed-density,short-bursts,dense-fragmented,single-block
dtpaf,binary,DPM,O(n),O(n),O(n),O(n),O(n),O(n)
eds,binary,DPM,O(n log n),O(n log n),O(n),O(n),O(n),O(n)
lsaf,binary,DPM,O(n log n),O(n),O(n),O(n),O(n),O(n log n)
mttd,binary,DPM,O(n),O(n),O(n),O(n),O(n),O(n)
nab_score,binary,DPM,O(n^2),O(n log n),O(n^2),O(n^2),O(n^2),O(n log n)
adc,binary,PTDM,O(n),O(n),O(n),O(n),O(n),O(n)
dair,binary,PTDM,O(n^2),O(n),O(n),O(n),O(n),O(n^2)
pakf,binary,PTDM,O(n log n),O(n log n),O(n log n),O(n log n),O(n),O(n log n)
paklf,binary,PTDM,O(n log n),O(n log n),O(n),O(n),O(n),O(n log n)
taf,binary,PTDM,O(n^2),O(n),O(n^2),O(n^2),O(n^2),O(n)
tdir,binary,PTDM,O(n^2),O(n),O(n),O(n),O(n),O(n^2)
wdd,binary,PTDM,O(n),O(n),O(n),O(n),O(n),O(n)
dicec,binary,SPM,O(n log n),O(n),O(n),O(n),O(n),O(n log n)
pak,continuous,SPM,O(n log n),O(n),O(n log n),O(n),O(n),O(n)
pw_auc_pr,continuous,SPM,O(n log n),O(n log n),O(n log n),O(n log n),O(n log n),O(n log n)
pw_auc_roc,continuous,SPM,O(n log n),O(n log n),O(n),O(n),O(n),O(n log n)
pwf,binary,SPM,O(n log n),O(n),O(n),O(n log n),O(n),O(n log n)
add,binary,TMEM,O(n),O(n),O(n),O(n),O(n),O(n)
etaf,binary,TMEM,O(n^2),O(n),O(n^2),O(n^2),O(n^2),O(n)
td,binary,TMEM,O(n),O(n),O(n),O(n),O(n),O(n)
bpaf,binary,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
cf,binary,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
pa_auc_pr,continuous,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
pa_auc_roc,continuous,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
paf,binary,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
rbf,binary,TPDM,O(n^2),O(n),O(n^2),O(n^2),O(n^2),O(n)
swf,binary,TPDM,O(n),O(n),O(n),O(n),O(n),O(n)
aff_f,binary,TSTM,O(n^2),O(n),O(n^2),O(n^2),O(n^2),O(n log n)
naff_f,binary,TSTM,O(n^2),O(n),O(n^2),O(n^2),O(n^2),O(n log n)
pate,continuous,TSTM,O(n^2),O(n^2),O(n^2),O(n^2),O(n^2),O(n^2)
pate_f1,binary,TSTM,O(n^3),O(n^2),O(n^2),O(n^2),O(n^2),O(n^3)
ttf,binary,TSTM,O(n log n),O(n log n),O(n log n),O(n log n),O(n),O(n log n)
vus_pr,continuous,TSTM,O(n),O(n),O(n),O(n),O(n),O(n)
vus_roc,continuous,TSTM,O(n),O(n),O(n),O(n),O(n),O(n)
