metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.90123457,0.90123457,1.00000000,0.09876543,0.10636277,0.89363723
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.75308642,0.75308642,1.00000000,0.24691358,0.26590693,0.73409307
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.50000000,0.50000000,1.00000000,0.50000000,0.53846154,0.46153846
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.24691358,0.24691358,1.00000000,0.75308642,0.81101614,0.18898386
adc,binary,False,TEM,PTDM,TEM/PTDM,r2_single_long,r2_single_long__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.09876543,0.09876543,1.00000000,0.90123457,0.97056030,0.02943970
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__on_time,on_time,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.93047619,0.93047619,1.00000000,0.06952381,0.07487179,0.92512821
