category,SPM,TPDM,PTDM,DPM,TMEM,TSTM
SPM,0.95943733,0.81267806,0.79854391,0.45348593,0.84089177,0.92382744
TPDM,0.81267806,0.81296086,0.78217094,0.49150085,0.77684624,0.83386316
PTDM,0.79854391,0.78217094,0.73224726,0.48846441,0.78171489,0.80252845
DPM,0.45348593,0.49150085,0.48846441,0.34042547,0.47423500,0.48294760
TMEM,0.84089177,0.77684624,0.78171489,0.47423500,0.73417088,0.82505138
TSTM,0.92382744,0.83386316,0.80252845,0.48294760,0.82505138,0.90043585
