metric,dicec,pak,pw_auc_pr,pw_auc_roc,pwf,bpaf,cf,pa_auc_pr,pa_auc_roc,paf,rbf,swf,adc,dair,pakf,paklf,taf,tdir,wdd,dtpaf,eds,lsaf,mttd,nab_score,add,etaf,td,aff_f,naff_f,pate,pate_f1,ttf,vus_pr,vus_roc
eds,-0.23206958,-0.35865298,-0.25641962,-0.31645851,-0.23206958,-0.27426404,-0.35021409,-0.36016949,-0.45798009,-0.35021409,-0.28270294,0.07627119,0.14406780,-0.28572437,-0.35021409,-0.29958073,-0.28572437,0.35865298,-0.42018290,0.32220112,1.00000000,-0.35021409,0.00000000,-0.63867801,-0.14406780,-0.36753479,-0.23530243,-0.28572437,-0.28572437,-0.39240856,-0.16807316,-0.23530243,-0.31645851,-0.31645851
lsaf,0.88235294,0.86974790,0.86815585,0.86974790,0.88235294,0.99159664,1.00000000,0.86498660,0.89828374,1.00000000,0.93277311,0.63291703,0.58228366,0.99582462,1.00000000,0.94957983,0.99582462,0.46218487,0.85356396,0.27500955,-0.35021409,1.00000000,-0.08548258,0.91214188,-0.58228366,0.93624651,0.92887842,0.99582462,0.99582462,0.81092437,0.87866878,0.94561497,0.86974790,0.86974790
mttd,0.01709652,0.07693432,-0.01731618,0.10257909,0.01709652,-0.13249799,-0.08548258,0.01716881,-0.11246431,-0.08548258,0.00000000,0.30903849,0.36054491,-0.14471361,-0.08548258,-0.03419303,-0.14471361,0.41886462,0.07661309,0.62944075,0.00000000,-0.08548258,1.00000000,0.00851257,-0.36054491,-0.09523899,-0.09363822,-0.14471361,-0.14471361,0.17096515,-0.04256283,-0.09363822,0.10257909,0.10257909
nab_score,0.82845913,0.87030051,0.79672462,0.82009086,0.82845913,0.87030051,0.91214188,0.86557678,0.88077101,0.91214188,0.86193223,0.50421948,0.45379754,0.88333333,0.91214188,0.86193223,0.88333333,0.24267995,0.88333333,0.18257419,-0.63867801,0.91214188,0.00851257,1.00000000,-0.45379754,0.88148255,0.85000000,0.88333333,0.88333333,0.82009086,0.80000000,0.83333333,0.82009086,0.82009086
add,-0.70042818,-0.64135592,-0.53848121,-0.59072256,-0.70042818,-0.59916145,-0.58228366,-0.40254237,-0.49961464,-0.58228366,-0.75106154,-0.98305085,-1.00000000,-0.57985241,-0.58228366,-0.66667260,-0.57985241,-0.81013379,-0.57985241,-0.72495251,-0.14406780,-0.58228366,-0.36054491,-0.45379754,1.00000000,-0.55557585,-0.68069630,-0.57985241,-0.57985241,-0.65823371,-0.69750362,-0.66388899,-0.59072256,-0.59072256
etaf,0.95326917,0.95326917,0.94827586,0.93624651,0.95326917,0.95326917,0.93624651,0.74361691,0.89582802,0.93624651,0.83411052,0.57267049,0.55557585,0.93233732,0.93624651,0.98731450,0.93233732,0.40003260,0.94928891,0.18569534,-0.36753479,0.93624651,-0.09523899,0.88148255,-0.55557585,1.00000000,0.96624049,0.93233732,0.93233732,0.86815585,0.94928891,0.98319208,0.93624651,0.93624651
td,0.97908807,0.95398325,0.89843414,0.88703705,0.97908807,0.94561497,0.92887842,0.76473288,0.88077101,0.92887842,0.89540533,0.69750362,0.68069630,0.93333333,0.92887842,0.97908807,0.93333333,0.53556954,0.93333333,0.27386128,-0.23530243,0.92887842,-0.09363822,0.85000000,-0.68069630,0.96624049,1.00000000,0.93333333,0.93333333,0.82009086,0.98333333,0.98333333,0.88703705,0.88703705
aff_f,0.87866878,0.85356396,0.86453097,0.85356396,0.87866878,0.99582462,0.99582462,0.84876946,0.88077101,0.99582462,0.92887842,0.63027436,0.57985241,1.00000000,0.99582462,0.94561497,1.00000000,0.46862335,0.83333333,0.27386128,-0.28572437,0.99582462,-0.14471361,0.88333333,-0.57985241,0.93233732,0.93333333,1.00000000,1.00000000,0.78661776,0.88333333,0.95000000,0.85356396,0.85356396
naff_f,0.87866878,0.85356396,0.86453097,0.85356396,0.87866878,0.99582462,0.99582462,0.84876946,0.88077101,0.99582462,0.92887842,0.63027436,0.57985241,1.00000000,0.99582462,0.94561497,1.00000000,0.46862335,0.83333333,0.27386128,-0.28572437,0.99582462,-0.14471361,0.88333333,-0.57985241,0.93233732,0.93333333,1.00000000,1.00000000,0.78661776,0.88333333,0.95000000,0.85356396,0.85356396
pate,0.87815126,0.89915966,0.91922384,0.94957983,0.87815126,0.81512605,0.81092437,0.66667260,0.85682449,0.81092437,0.74369748,0.62447813,0.65823371,0.78661776,0.81092437,0.87815126,0.78661776,0.29831933,0.89540533,0.32084447,-0.39240856,0.81092437,0.17096515,0.82009086,-0.65823371,0.86815585,0.82009086,0.78661776,0.78661776,1.00000000,0.85356396,0.85356396,0.94957983,0.94957983
pate_f1,0.99582462,0.97071979,0.93233732,0.92051015,0.99582462,0.90377360,0.87866878,0.73952191,0.88077101,0.87866878,0.82845913,0.68069630,0.69750362,0.88333333,0.87866878,0.96235152,0.88333333,0.51883299,0.95000000,0.27386128,-0.16807316,0.87866878,-0.04256283,0.80000000,-0.69750362,0.94928891,0.98333333,0.88333333,0.88333333,0.85356396,1.00000000,0.96666667,0.92051015,0.92051015
ttf,0.96235152,0.93724670,0.93233732,0.92051015,0.96235152,0.97071979,0.94561497,0.73111825,0.88077101,0.94561497,0.87866878,0.68069630,0.66388899,0.95000000,0.94561497,0.99582462,0.95000000,0.51883299,0.91666667,0.27386128,-0.23530243,0.94561497,-0.09363822,0.83333333,-0.66388899,0.98319208,0.98333333,0.95000000,0.95000000,0.85356396,0.96666667,1.00000000,0.92051015,0.92051015
vus_pr,0.93697479,0.94957983,0.98731450,1.00000000,0.93697479,0.88235294,0.86974790,0.75106154,0.91210349,0.86974790,0.73529412,0.55696698,0.59072256,0.85356396,0.86974790,0.93697479,0.85356396,0.37394958,0.94561497,0.22917462,-0.31645851,0.86974790,0.10257909,0.82009086,-0.59072256,0.93624651,0.88703705,0.85356396,0.85356396,0.94957983,0.92051015,0.92051015,1.00000000,1.00000000
vus_roc,0.93697479,0.94957983,0.98731450,1.00000000,0.93697479,0.88235294,0.86974790,0.75106154,0.91210349,0.86974790,0.73529412,0.55696698,0.59072256,0.85356396,0.86974790,0.93697479,0.85356396,0.37394958,0.94561497,0.22917462,-0.31645851,0.86974790,0.10257909,0.82009086,-0.59072256,0.93624651,0.88703705,0.85356396,0.85356396,0.94957983,0.92051015,0.92051015,1.00000000,1.00000000
