metric_name,category,input_type,complexity,first_timeout_size,a,R2
dtpaf,DPM,binary,O(n),,3.269259356178641e-08,0.9996106523079693
eds,DPM,binary,O(n),,8.86720162972527e-08,0.999927544643955
lsaf,DPM,binary,O(n),,9.26498910362106e-08,0.9999530551340854
mttd,DPM,binary,O(n),,5.2678166163208105e-08,0.9999204325523906
nab_score,DPM,binary,O(n^2),,2.1146584991657795e-10,0.9999137188685924
adc,PTDM,binary,O(n),,3.2605506178165687e-08,0.9998437589494151
dair,PTDM,binary,O(n),,1.1409829161688546e-07,0.9997734344412039
pakf,PTDM,binary,O(n log n),,3.1952088461102963e-09,0.9919187391442418
paklf,PTDM,binary,O(n),,1.993111812527894e-07,0.9977881597974628
taf,PTDM,binary,O(n^2),,2.576643120061536e-10,0.9999937291153326
tdir,PTDM,binary,O(n),,1.1725407029543837e-07,0.9941072388936995
wdd,PTDM,binary,O(n),,8.030653766403772e-06,0.999997796292695
dicec,SPM,binary,O(n),,2.8950898064190585e-08,0.9996253805463887
pak,SPM,continuous,O(n log n),,1.7016746222663422e-09,0.9977177137714164
pw_auc_pr,SPM,continuous,O(n log n),,1.0095302735921618e-08,0.9997895147518888
pw_auc_roc,SPM,continuous,O(n),,1.8914480031881908e-07,0.9999213800158345
pwf,SPM,binary,O(n),,2.8351765842681523e-08,0.9987022041120251
add,TMEM,binary,O(n),,9.534300335223397e-08,0.9999239692830247
etaf,TMEM,binary,O(n^2),,1.1390254437474465e-10,0.9999915793837022
td,TMEM,binary,O(n),,3.8672875153670357e-07,0.999981665953588
bpaf,TPDM,binary,O(n),,9.348747243429169e-08,0.9999801716271499
cf,TPDM,binary,O(n),,3.038753046882958e-07,0.9998361406132465
pa_auc_pr,TPDM,continuous,O(n),,2.2240456081342652e-05,0.9999899965358832
pa_auc_roc,TPDM,continuous,O(n),,2.218569902881732e-05,0.9999899662471238
paf,TPDM,binary,O(n),,6.979119840834837e-08,0.9999474730848199
rbf,TPDM,binary,O(n^2),,1.0650161781972875e-10,0.9999824616211719
swf,TPDM,binary,O(n),,6.547326532307925e-08,0.9996106459474968
aff_f,TSTM,binary,O(n^2),,6.519213900139102e-11,0.9999829833594852
naff_f,TSTM,binary,O(n^2),,6.526420139003972e-11,0.9999824925426295
pate,TSTM,continuous,O(n^2),262144,1.4791897540840312e-06,0.9999862670194885
pate_f1,TSTM,binary,O(n^2),,1.0411245359257117e-09,0.9999978812730247
ttf,TSTM,binary,O(n log n),,4.1917888337289124e-09,0.9998251941232013
vus_pr,TSTM,continuous,O(n),,0.00013735445221680582,0.999925058444648
vus_roc,TSTM,continuous,O(n),,0.0001372753556010218,0.9999408228851431
