metric_name,category,input_type,complexity,first_timeout_size,a,R2
dtpaf,DPM,binary,O(n),,3.986295177051554e-08,0.9998108549723306
eds,DPM,binary,O(n),,2.109267425764053e-07,0.9999938402644578
lsaf,DPM,binary,O(n),,3.3823044583216615e-07,0.9999876173588914
mttd,DPM,binary,O(n),,1.3808785453299957e-07,0.9999510684342356
nab_score,DPM,binary,O(n^2),,1.0303766124193797e-09,0.9999965272977993
adc,PTDM,binary,O(n),,3.378469909496824e-08,0.999833098275736
dair,PTDM,binary,O(n),,1.1660990814875914e-07,0.9942091989698248
pakf,PTDM,binary,O(n log n),,4.110770107314039e-09,0.9969940083966023
paklf,PTDM,binary,O(n),,4.34476400499667e-07,0.9997635432957864
taf,PTDM,binary,O(n^2),,2.367646721802222e-09,0.9999902861853592
tdir,PTDM,binary,O(n),,1.1638138366000253e-07,0.9998703267965501
wdd,PTDM,binary,O(n),,8.249345067737034e-06,0.9999994659201079
dicec,SPM,binary,O(n),,2.737180883620399e-08,0.9992764703236213
pak,SPM,continuous,O(n),,2.958421189299737e-08,0.9985738135105534
pw_auc_pr,SPM,continuous,O(n log n),,1.0015251442912335e-08,0.999843818016891
pw_auc_roc,SPM,continuous,O(n),,1.8691953860302361e-07,0.9990785356106423
pwf,SPM,binary,O(n log n),,1.2455901855707738e-09,0.9981928038687714
add,TMEM,binary,O(n),,3.4105693287722904e-07,0.9999875234043887
etaf,TMEM,binary,O(n^2),,1.0169622112973615e-09,0.9999965379226375
td,TMEM,binary,O(n),,3.639423536288433e-07,0.9992386387374157
bpaf,TPDM,binary,O(n),,2.728463844765104e-07,0.9999921955544975
cf,TPDM,binary,O(n),,3.1460058060986246e-07,0.999548940603587
pa_auc_pr,TPDM,continuous,O(n),,2.266608092822645e-05,0.9999959671533385
pa_auc_roc,TPDM,continuous,O(n),,2.26636392537517e-05,0.9999958540285013
paf,TPDM,binary,O(n),,2.1707620535963633e-07,0.9999522368860716
rbf,TPDM,binary,O(n^2),,9.896723908751263e-10,0.9999982607198907
swf,TPDM,binary,O(n),,9.154018284204413e-08,0.9969116690950782
aff_f,TSTM,binary,O(n^2),,5.645268382026118e-10,0.9999978667488549
naff_f,TSTM,binary,O(n^2),,5.638747273765662e-10,0.9999966908533691
pate,TSTM,continuous,O(n^2),131072,2.7144178414708034e-06,0.9999463928965686
pate_f1,TSTM,binary,O(n^2),,6.611054015846956e-09,0.9999273781098865
ttf,TSTM,binary,O(n log n),,4.231833130377979e-09,0.9998433887257457
vus_pr,TSTM,continuous,O(n),,0.0006589319268824608,0.9999921234906525
vus_roc,TSTM,continuous,O(n),,0.0006597850250386567,0.9999897236545188
