metric_name,category,input_type,complexity,first_timeout_size,a,R2
dtpaf,DPM,binary,O(n),,3.078422795186497e-08,0.9997024836728254
eds,DPM,binary,O(n log n),,2.760528480730358e-09,0.9972696326497463
lsaf,DPM,binary,O(n),,3.1320491276485066e-08,0.999358962778523
mttd,DPM,binary,O(n),,3.1026637200439425e-08,0.9997611743571906
nab_score,DPM,binary,O(n log n),,4.0233149826613903e-07,0.9999290305381161
adc,PTDM,binary,O(n),,3.8408565480977885e-08,0.9999022179506316
dair,PTDM,binary,O(n),,1.2776061124750564e-07,0.9943518407693942
pakf,PTDM,binary,O(n log n),,2.3109303503626258e-09,0.988701357560236
paklf,PTDM,binary,O(n log n),,7.915176395192873e-09,0.9928847423981388
taf,PTDM,binary,O(n),,2.549431181553106e-06,0.9998385986820758
tdir,PTDM,binary,O(n),,1.2959955744232881e-07,0.9915926452284888
wdd,PTDM,binary,O(n),,7.967486287173183e-06,0.9999749564716528
dicec,SPM,binary,O(n),,2.799780772514498e-08,0.9993579881520475
pak,SPM,continuous,O(n),,3.031389407512735e-08,0.9977555079198547
pw_auc_pr,SPM,continuous,O(n log n),,9.971539704295659e-09,0.9997063225127684
pw_auc_roc,SPM,continuous,O(n log n),,9.17009250574218e-09,0.9990194852283186
pwf,SPM,binary,O(n),,2.8142462741842983e-08,0.9986338741796265
add,TMEM,binary,O(n),,3.824788610377565e-08,0.9992669419451398
etaf,TMEM,binary,O(n),,1.2303185555276363e-06,0.9997621429986365
td,TMEM,binary,O(n),,3.594306166822499e-07,0.9994625022480418
bpaf,TPDM,binary,O(n),,5.030802531136179e-08,0.9998901057878735
cf,TPDM,binary,O(n),,3.4857764492493276e-07,0.9997693906442262
pa_auc_pr,TPDM,continuous,O(n),,2.2742346978780316e-05,0.9999964185170317
pa_auc_roc,TPDM,continuous,O(n),,2.2703310075123685e-05,0.9999920156268469
paf,TPDM,binary,O(n),,3.08870926428417e-08,0.9998380499066004
rbf,TPDM,binary,O(n),,3.3766023632498455e-07,0.9995249877477288
swf,TPDM,binary,O(n),,5.324294385345585e-08,0.999539738549584
aff_f,TSTM,binary,O(n),,3.138973452214465e-07,0.99983415611625
naff_f,TSTM,binary,O(n),,3.143536935577587e-07,0.9998218093623296
pate,TSTM,continuous,O(n^2),524288,1.1430707516820542e-06,0.9999932160009275
pate_f1,TSTM,binary,O(n^2),,6.169171423717191e-10,0.9989829699333208
ttf,TSTM,binary,O(n log n),,4.546080962152929e-09,0.9977449667810603
vus_pr,TSTM,continuous,O(n),,5.831856883600861e-06,0.9996046144725986
vus_roc,TSTM,continuous,O(n),,5.835043584800488e-06,0.99961495305778
