metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
lsaf,binary,False,TEM,DPM,TEM/DPM,0.98874017,0.81738827,0.98685883,0.98104465,0.98832519,1.00000000,0.00000000,0.27298371,0.00000000
mttd,binary,True,TEM,DPM,TEM/DPM,14.66666667,10.00000000,14.33333333,14.00000000,14.33333333,0.00000000,0.00000000,0.00000000,790.33333333
nab_score,binary,False,TEM,DPM,TEM/DPM,99.07185476,-1646.57475124,98.47612626,32.95514675,97.41865753,100.00000000,0.00000000,-21929.30423450,-22029.30423450
add,binary,True,TEM,TMEM,TEM/TMEM,0.22208821,0.21540894,0.23982239,0.23085934,0.23967386,0.24999987,0.00000000,0.24999987,0.00000000
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.95307780,0.58490321,0.95765617,0.89536584,0.96185953,1.00000000,0.00000000,0.00000000,0.00000000
td,binary,True,TEM,TMEM,TEM/TMEM,1570.00000000,1182126.00000000,1086.00000000,24226.00000000,1308.00000000,0.00000000,35565000.00000000,15303575.00000000,15773231.00000000
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.99952780,0.86963078,0.99923652,0.99535082,0.99942017,1.00000000,0.00000000,0.67973227,0.57266442
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.99936906,0.80278475,0.99893660,0.99341974,0.99919947,1.00000000,0.00000000,0.46968490,0.28158834
pate,continuous,False,TEM,TSTM,TEM/TSTM,0.96148558,0.54578814,0.97216511,0.97460224,0.97482937,1.00000000,0.57903584,0.57903584,0.07904398
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.92298271,0.61340588,0.97464331,0.94913588,0.97432588,1.00000000,0.00000000,0.27299117,0.00000500
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.98033394,0.74170810,0.98483764,0.96284720,0.98546631,1.00000000,0.00000000,0.27596115,0.00400000
vus_pr,continuous,False,TEM,TSTM,TEM/TSTM,0.95519725,0.54589018,0.97208145,0.97399613,0.97487334,1.00000000,0.15831441,0.15831441,0.15806717
vus_roc,continuous,False,TEM,TSTM,TEM/TSTM,0.97663678,0.89812019,0.97781336,0.98135378,0.98266570,1.00000000,0.50007358,0.50007358,0.00092944
