metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,KNN,ECOD,XGBOD,RBFSVC,RandomForest,Perfect,AlwaysNormal,AlwaysAnomaly,Inverted
dicec,binary,False,SPM,SPM,SPM,0.92283322,0.61302211,0.97424893,0.94871795,0.97372954,1.00000000,0.00000000,0.27298371,0.00000000
pak,continuous,False,SPM,SPM,SPM,0.89934265,0.59637284,0.95908899,0.95065373,0.95824547,1.00000000,0.15806667,0.15806667,0.00000000
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.95507285,0.54582786,0.97200447,0.97425781,0.97477787,1.00000000,0.15806667,0.15806667,0.15806667
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.97631912,0.89755769,0.97736234,0.98083715,0.98218795,1.00000000,0.50000000,0.50000000,0.00000000
pwf,binary,False,SPM,SPM,SPM,0.92283322,0.61302211,0.97424893,0.94871795,0.97372954,1.00000000,0.00000000,0.27298371,0.00000000
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.99580008,0.63008238,0.99454698,0.98545303,0.99580008,1.00000000,0.00000000,0.27298371,0.00079968
cf,binary,False,TEM,TPDM,TEM/TPDM,0.99779790,0.74663342,0.99583242,0.98912551,0.99735333,1.00000000,0.00000000,0.27298371,0.00000000
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,1.00000000,0.85787358,0.85974750,0.85978092,0.57943049,1.00000000,0.57903333,0.57903333,0.07903333
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,1.00000000,0.99967019,1.00000000,1.00000000,1.00000000,1.00000000,0.50000000,0.50000000,0.00000000
paf,binary,False,TEM,TPDM,TEM/TPDM,0.99810566,0.82354984,0.99600924,0.98997912,0.99747581,1.00000000,0.00000000,0.27298371,0.00000000
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.93901742,0.50041739,0.79278273,0.61703991,0.79231536,1.00000000,0.00000000,0.73340229,0.00000000
swf,binary,False,TEM,TPDM,TEM/TPDM,0.54545455,0.00648649,0.66666667,0.33333333,0.60000000,1.00000000,0.00000000,1.00000000,0.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,0.85998336,0.63138686,0.95740690,0.92071031,0.95361317,1.00000000,0.00000000,1.00000000,0.00000000
dair,binary,False,TEM,PTDM,TEM/PTDM,0.99607843,0.69608136,0.99184549,0.97908497,0.99483204,1.00000000,0.00000000,0.15806667,0.00236986
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.99810566,0.82354984,0.99600924,0.98997912,0.99747581,1.00000000,0.00000000,0.27298371,0.00000000
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.95568232,0.77570938,0.97622617,0.95236033,0.97681408,1.00000000,0.00000000,0.27298371,0.00000000
taf,binary,False,TEM,PTDM,TEM/PTDM,0.94085690,0.50050485,0.80325497,0.61703991,0.84848232,1.00000000,0.00000000,0.14700432,0.00159730
tdir,binary,False,TEM,PTDM,TEM/PTDM,0.96415015,0.98144243,0.97469422,0.94770139,0.97427246,1.00000000,0.00000000,1.00000000,0.01265289
wdd,binary,False,TEM,PTDM,TEM/PTDM,1791.07158448,312.64937829,1948.43384754,1860.41119007,1948.40279163,2028.68581689,0.00000000,-10588.31418311,-12617.00000000
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.27298371,0.00000000
eds,binary,False,TEM,DPM,TEM/DPM,0.46960588,0.96459586,0.47027388,0.62725451,0.47027388,0.49899800,0.00000000,1.00000000,1.00000000
