metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,AlwaysAnomaly,AlwaysNormal,ECOD,Inverted,KNN,Perfect,RBFSVC,RandomForest,XGBOD
dicec,binary,False,SPM,SPM,SPM,0.272983709999727,0.0,0.6130221099993869,0.0,0.9228332199990771,0.9999999999989999,0.9487179499990512,0.9737295399990262,0.9742489299990257
pak,continuous,False,SPM,SPM,SPM,0.15806666999984192,0.15806666999984192,0.5963728399994036,0.0,0.8993426499991006,0.9999999999989999,0.9506537299990493,0.9582454699990417,0.9590889899990409
pw_auc_pr,continuous,False,SPM,SPM,SPM,0.0,0.0,0.46056044603857116,0.0,0.9466381144443508,0.9999999999988123,0.9694249068379686,0.9700426042036251,0.9667485191482244
pw_auc_roc,continuous,False,SPM,SPM,SPM,0.49999999999949996,0.49999999999949996,0.8975576899991023,0.0,0.9763191199990235,0.9999999999989999,0.9808371499990192,0.9821879499990177,0.9773623399990226
pwf,binary,False,SPM,SPM,SPM,0.272983709999727,0.0,0.6130221099993869,0.0,0.9228332199990771,0.9999999999989999,0.9487179499990512,0.9737295399990262,0.9742489299990257
bpaf,binary,False,TEM,TPDM,TEM/TPDM,0.272983709999727,0.0,0.6300823799993699,0.0007996799999992003,0.9958000799990041,0.9999999999989999,0.9854530299990144,0.9958000799990041,0.9945469799990053
cf,binary,False,TEM,TPDM,TEM/TPDM,0.272983709999727,0.0,0.7466334199992533,0.0,0.9977978999990021,0.9999999999989999,0.9891255099990108,0.9973533299990026,0.9958324199990042
pa_auc_pr,continuous,False,TEM,TPDM,TEM/TPDM,0.5429078122875577,0.5429078122875577,0.845676912497989,0.0,0.9999999999989142,0.9999999999989142,0.8477479320713661,0.543339054821014,0.8477116441131928
pa_auc_roc,continuous,False,TEM,TPDM,TEM/TPDM,0.49999999999949996,0.49999999999949996,0.9996701899990003,0.0,0.9999999999989999,0.9999999999989999,0.9999999999989999,0.9999999999989999,0.9999999999989999
paf,binary,False,TEM,TPDM,TEM/TPDM,0.272983709999727,0.0,0.8235498399991763,0.0,0.9981056599990018,0.9999999999989999,0.9899791199990099,0.9974758099990024,0.9960092399990039
rbf,binary,False,TEM,TPDM,TEM/TPDM,0.7334022899992666,0.0,0.5004173899994995,0.0,0.9390174199990609,0.9999999999989999,0.617039909999383,0.7923153599992077,0.7927827299992072
swf,binary,False,TEM,TPDM,TEM/TPDM,0.9999999999989999,0.0,0.006486489999993513,0.0,0.5454545499994545,0.9999999999989999,0.33333332999966664,0.5999999999993999,0.6666666699993333
adc,binary,False,TEM,PTDM,TEM/PTDM,0.9999999999989999,0.0,0.6313868599993685,0.0,0.8599833599991399,0.9999999999989999,0.9207103099990792,0.9536131699990463,0.9574068999990425
dair,binary,False,TEM,PTDM,TEM/PTDM,0.15806666999984192,0.0,0.6960813599993039,0.00236985999999763,0.9960784299990038,0.9999999999989999,0.9790849699990208,0.9948320399990052,0.991845489999008
pakf,binary,False,TEM,PTDM,TEM/PTDM,0.272983709999727,0.0,0.8235498399991763,0.0,0.9981056599990018,0.9999999999989999,0.9899791199990099,0.9974758099990024,0.9960092399990039
paklf,binary,False,TEM,PTDM,TEM/PTDM,0.272983709999727,0.0,0.7757093799992242,0.0,0.9556823199990442,0.9999999999989999,0.9523603299990475,0.9768140799990231,0.9762261699990237
taf,binary,False,TEM,PTDM,TEM/PTDM,0.14700431999985297,0.0,0.5005048499994994,0.0015972999999984026,0.9408568999990591,0.9999999999989999,0.617039909999383,0.8484823199991515,0.8032549699991967
tdir,binary,False,TEM,PTDM,TEM/PTDM,0.9999999999989999,0.0,0.9814424299990184,0.012652889999987345,0.9641501499990358,0.9999999999989999,0.9477013899990522,0.9742724599990257,0.9746942199990252
wdd,binary,False,TEM,PTDM,TEM/PTDM,0.13851763872678716,0.8614823612732128,0.8828299022623441,0.0,0.98377582071739,0.9999999999999999,0.9885102938214105,0.9945183157508803,0.9945204362326651
