metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,AlwaysAnomaly,AlwaysNormal,ECOD,Inverted,KNN,Perfect,RBFSVC,RandomForest,XGBOD
dtpaf,binary,False,TEM,DPM,TEM/DPM,0.272983709999727,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0
eds,binary,False,TEM,DPM,TEM/DPM,0.9999999999989999,0.0,0.9645958599990353,0.9999999999989999,0.46960587999953035,0.49899799999950095,0.6272545099993727,0.4702738799995297,0.4702738799995297
lsaf,binary,False,TEM,DPM,TEM/DPM,0.272983709999727,0.0,0.8173882699991826,0.0,0.9887401699990112,0.9999999999989999,0.9810446499990189,0.9883251899990115,0.986858829999013
mttd,binary,True,TEM,DPM,TEM/DPM,1.0,1.0,0.9873471109236076,1.3322676295501878e-15,0.9814424293504068,1.0,0.9822859552930506,0.9818641923280551,0.9818641923280551
nab_score,binary,False,TEM,DPM,TEM/DPM,0.00451889489792897,0.995481105102071,0.9210741226777,0.0,0.9999580580921044,1.0,0.9969703135471617,0.9998833518468251,0.9999311377473122
add,binary,True,TEM,TMEM,TEM/TMEM,4.0000225354219765e-12,1.0,0.1383637919526185,1.0,0.1116466980598364,4.0000225354219765e-12,0.076562159816017,0.041304061481946874,0.040709941173006636
etaf,binary,False,TEM,TMEM,TEM/TMEM,0.0,0.0,0.584903209999415,0.0,0.9530777999990468,0.9999999999989999,0.8953658399991046,0.9618595299990381,0.9576561699990422
td,binary,True,TEM,TMEM,TEM/TMEM,0.569701251230142,0.0,0.966761535217208,0.5564956839589483,0.9999558554758892,1.0,0.9993188246871925,0.9999632222690847,0.9999694643610291
aff_f,binary,False,TEM,TSTM,TEM/TSTM,0.6797322699993202,0.0,0.8696307799991303,0.5726644199994272,0.9995277999990003,0.9999999999989999,0.9953508199990045,0.9994201699990005,0.9992365199990006
naff_f,binary,False,TEM,TSTM,TEM/TSTM,0.4696848999995303,0.0,0.8027847499991972,0.2815883399997184,0.9993690599990006,0.9999999999989999,0.9934197399990065,0.9991994699990007,0.998936599999001
pate,continuous,False,TEM,TSTM,TEM/TSTM,0.5429052518701785,0.5429052518701785,0.5068039622559752,0.0,0.9581799573871528,0.9999999999989142,0.9724223964560518,0.9726690206108076,0.9697760920212349
pate_f1,binary,False,TEM,TSTM,TEM/TSTM,0.272991169999727,0.0,0.6134058799993864,4.999999999995e-06,0.922982709999077,0.9999999999989999,0.9491358799990508,0.9743258799990255,0.9746433099990253
ttf,binary,False,TEM,TSTM,TEM/TSTM,0.275961149999724,0.0,0.7417080999992582,0.003999999999996,0.9803339399990195,0.9999999999989999,0.9628471999990371,0.9854663099990144,0.9848376399990151
vus_pr,continuous,False,TEM,TSTM,TEM/TSTM,0.00029365763062082787,0.00029365763062082787,0.46063414583742907,0.0,0.9467858380092545,0.9999999999988123,0.9691140800377518,0.9701559802567978,0.966839931873227
vus_roc,continuous,False,TEM,TSTM,TEM/TSTM,0.4996084961201343,0.4996084961201343,0.8980254107368573,0.0,0.9766150450865286,0.9999999999989991,0.9813364333336162,0.9826495738189076,0.9777927196643871
